"Species","SpecGen","AltitudeNiche","WaterNiche","Range","FutureScenario","x","y","Vulnerability","Elevation","Precipitation","Temperature","Rugosity","Corridor_Strength","Habitat_Suitability","Start_Distance","Permuted_CorridorStr","Niche","logCrStr","logPermutedCrStr","jittered_x","jittered_y","Max_resilience","local_moran_I","local_moran_p","significant_cluster","Moran_type"
"HDlong","Specialist","High","Dry","long","ssp245",-917135.914951311,2080596.41355042,43604.6328125,507,3242.44311523438,25.2555313110352,69.5244064331055,37.4660148620605,4.73681402206421,8834.251953125,51.7856254577637,"HD",3.62343425172006,3.94711260993959,-917135.914940253,2080596.41353813,0,0.338825753590066,0.060919286963541,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp245",-912955.832129725,2299005.74097827,420.48388671875,704,2272.48168945312,22.6799964904785,61.4522171020508,33.2555046081543,54.8420372009277,1477.88244628906,47.7491111755371,"HD",3.50422030552456,3.86596045262862,-912955.832131419,2299005.74096361,0,0.0728996476496463,0.0441092945398062,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp245",-846074.506984352,2266610.09911098,13845.7998046875,608,2291.45776367188,24.8406429290771,87.6763381958008,69.1017608642578,24.6972160339355,29104.115234375,33.4174537658691,"HD",4.23558021328914,3.50907833133202,-846074.50698451,2266610.09910304,0,-0.00433087119691318,0.494830383529875,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp245",-961026.784577962,2263475.0369948,174.170120239258,383,2424.5498046875,25.0625419616699,55.5814819335938,17.1798915863037,12.0466346740723,12691.8349609375,38.6515159606934,"HD",2.84373960607658,3.65458599705061,-961026.784566868,2263475.03699603,0,0.0764572818547499,0.00171795946446516,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp245",-933856.246237654,2396192.66658014,174.170120239258,1128,2297.826171875,20.9947853088379,76.9816207885742,17.2989044189453,34.1719779968262,8283.033203125,23.2735462188721,"HD",2.85064317111374,3.14731736015423,-933856.246238468,2396192.66656585,0,0.0509658210400175,0.427574851381891,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp245",-885785.293789417,2264520.05770019,1991.4580078125,552,2392.68359375,24.1608104705811,34.9936676025391,264.990631103516,50.530704498291,13717.2734375,37.9241256713867,"HD",5.57969447103489,3.63558747081952,-885785.293795648,2264520.0576847,0,0.0655949058334933,0.00893743000740119,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp245",-955801.68105098,2279150.34757574,4600.07275390625,573,2177.8935546875,24.0348300933838,43.9926834106445,27.310375213623,29.7841491699219,4863.62890625,130.791595458984,"HD",3.30726667444737,4.87360518205793,-955801.681053367,2279150.34756233,0,0.0472135215778719,0.0057917005823591,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp245",-1005962.67491001,2153747.86292817,12425.70703125,1318,2897.15698242188,20.4219589233398,70.3635482788086,31.1858806610107,21.7102661132812,8547.662109375,53.5892677307129,"HD",3.43996544947066,3.98134881912366,-1005962.67491157,2153747.862916,0,-0.000567948252468868,0.0235960091471074,TRUE,"Overdispersing"
"HDlong","Specialist","High","Dry","long","ssp245",-966251.888104944,2198683.75326022,696.680480957031,693,2726.98168945312,22.7309741973877,84.7522277832031,173.07194519043,80.8558044433594,3452.25170898438,19.6493625640869,"HD",5.15370737620136,2.97804489830243,-966251.888110908,2198683.75326045,0,0.0742535697078007,0.000731379370600645,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp245",-919225.956362104,2289600.55462971,1851.45373535156,765,2279.18823242188,22.8982048034668,77.6677856445312,58.6398544311523,63.6473693847656,3900.00341796875,74.6994934082031,"HD",4.07141457515977,4.31347331043175,-919225.956371168,2289600.55461602,0,0.0678360661474539,0.0100733503496838,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp245",-946396.494702411,2245709.68500306,6969.91845703125,191,2837.37329101562,25.7653102874756,57.1909790039062,59.5075569152832,1.69161379337311,14943.732421875,23.6661052703857,"HD",4.08610331146643,3.16404386712224,-946396.494711045,2245709.68501587,0,0.0327438043249047,0.00214528994076194,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp245",-944306.453291619,2260339.97487861,348.340240478516,1054,2361.47119140625,22.1815052032471,80.5121765136719,71.1046524047852,70.7792663574219,13186.640625,28.8232154846191,"HD",4.2641527693349,3.3611811556392,-944306.453300266,2260339.97487675,0,0.0735159962882329,0.00321953906023537,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp245",-875335.086735453,2289600.55462971,174.170120239258,682,2360.34619140625,23.7001934051514,72.2889785766602,33.5921516418457,65.8632965087891,9224.759765625,22.7230911254883,"HD",3.51429245759669,3.12338163765704,-875335.086729615,2289600.55460804,0,0.0709438637731129,0.0890544249306567,FALSE,"Insignficant"
